cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
classic cocktail,3.0,notaddmi notaddcocktail,3.0,interest cocktail,5.0,regular cocktail,12.0,verbena cocktail,18
first cocktail,2.0,notaddcocktail notaddin,3.0,vega cocktail,5.0,cocktail ca,11.0,cocktail creativ,17
much cocktail,2.0,cocktail gin,3.0,cocktail arriv,5.0,cocktail pricey,11.0,cocktail no,17
cocktail arriv,2.0,cocktail spot,3.0,tri cocktail,5.0,round cocktail,11.0,cocktail superb,17
decid cocktail,2.0,cocktail sweet,3.0,list cocktail,5.0,time cocktail,11.0,go cocktail,17
tasti cocktail,2.0,vodka cocktail,3.0,base cocktail,5.0,dessert cocktail,11.0,strong cocktail,17
cocktail rather,2.0,cocktail recommend,3.0,cocktail overpr,5.0,cocktail app,11.0,base cocktail,17
cocktail sit,2.0,notaddit cocktail,3.0,serv cocktail,5.0,pricey cocktail,11.0,cocktail hour,17
manhattan cocktail,2.0,night cocktail,3.0,expens cocktail,5.0,cocktail went,11.0,cocktail ask,17
spot cocktail,2.0,singl cocktail,3.0,cocktail okay,4.0,cocktail think,11.0,cocktail happi,16
cocktail fine,2.0,cocktail first,3.0,tabl cocktail,4.0,extens cocktail,11.0,cocktail beauti,16
said cocktail,2.0,waitress cocktail,3.0,strip cocktail,4.0,season cocktail,11.0,cocktail worth,16
cocktail also,2.0,cocktail actual,3.0,cocktail app,4.0,cocktail came,11.0,cocktail wait,16
notaddcocktail notaddthat,2.0,cocktail day,3.0,cocktail thought,4.0,cocktail want,11.0,water cocktail,16
notaddcocktail notaddor,2.0,notaddand notaddcocktail,3.0,cocktail around,4.0,cocktail atmospher,11.0,dessert cocktail,16
experi cocktail,2.0,notaddcocktail order,3.0,cocktail small,4.0,notaddani notaddcocktail,11.0,refresh cocktail,16
horribl cocktail,2.0,cocktail quit,3.0,refresh cocktail,4.0,cocktail vega,11.0,everi cocktail,16
cocktail peopl,2.0,cranberri cocktail,3.0,cocktail go,4.0,cocktail come,11.0,cocktail offer,16
cocktail worth,2.0,thing cocktail,3.0,cocktail refresh,4.0,cocktail fantast,10.0,horseradish cocktail,16
appet cocktail,2.0,lot cocktail,3.0,tast cocktail,4.0,cocktail small,10.0,cucumb cocktail,15
cocktail friend,2.0,fanci cocktail,3.0,hous cocktail,4.0,want cocktail,10.0,cocktail glass,15
cocktail anoth,2.0,bad cocktail,3.0,beauti cocktail,4.0,cocktail ok,10.0,cocktail staff,15
robata cocktail,2.0,cocktail come,3.0,cocktail usual,4.0,vodka cocktail,10.0,cocktail huge,15
notaddcocktail notaddto,2.0,cocktail fine,3.0,bottl cocktail,4.0,cocktail night,10.0,price cocktail,15
cocktail his,2.0,cocktail noth,3.0,bartend cocktail,4.0,sever cocktail,10.0,cocktail reason,15
includ cocktail,2.0,parti cocktail,3.0,cocktail pricey,4.0,fantast cocktail,10.0,cocktail want,15
notaddsignatur notaddcocktail,2.0,cocktail bill,3.0,say cocktail,4.0,cocktail meal,10.0,cocktail special,15
stop cocktail,2.0,cocktail might,3.0,half cocktail,4.0,cocktail vodka,10.0,cocktail app,15
