cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
great food cocktail,2.0,craft cocktail bar,2.0,fine cocktail loung,2.0,notadda notaddcocktail notaddand,4.0,tri specialti cocktail,7
expect nice cocktail,2.0,shrimp cocktail sear,2.0,good cocktail ok,2.0,cocktail definit worth,4.0,good cocktail great,7
cocktail menu guess,2.0,extra food cocktail,2.0,cocktail appet came,2.0,cocktail wine list,4.0,cocktail made perfect,7
overpr bad cocktail,2.0,food cocktail order,2.0,specialti cocktail come,2.0,extens cocktail list,4.0,made amaz cocktail,7
medley came cocktail,2.0,cocktail order hubbi,2.0,shrimp cocktail usual,2.0,cocktail delici food,4.0,top shelf cocktail,7
came cocktail sauc,2.0,fresh cocktail sauc,2.0,much enjoy cocktail,2.0,also got cocktail,4.0,shrimp cocktail fresh,7
cocktail sauc cours,2.0,good specialti cocktail,2.0,cocktail waitress dress,2.0,great select cocktail,4.0,drink cocktail menu,7
order cocktail ask,2.0,cocktail beer select,2.0,cocktail friend bartend,2.0,shrimp cocktail delici,4.0,cocktail excel servic,7
food order cocktail,2.0,decid get cocktail,2.0,great cocktail good,2.0,creativ cocktail menu,4.0,craft cocktail made,7
need new cocktail,2.0,husband order cocktail,2.0,spill half cocktail,2.0,cocktail this one,4.0,best cocktail vega,7
wait minut cocktail,2.0,wine cocktail list,2.0,outsid cocktail waitress,2.0,get free cocktail,4.0,great classic cocktail,7
cocktail waitress obvious,2.0,hour get cocktail,2.0,cocktail waitress realli,2.0,good cocktail waitress,4.0,great cocktail food,7
wait min cocktail,2.0,anoth round cocktail,2.0,decor great cocktail,2.0,best craft cocktail,4.0,cocktail beer select,7
ask cocktail menu,2.0,noth special cocktail,2.0,cocktail howev food,2.0,craft cocktail favorit,4.0,cocktail this great,7
come shrimp cocktail,2.0,cocktail skimpi overpr,2.0,cocktail this first,2.0,check cocktail menu,4.0,shrimp cocktail crab,7
cocktail late night,2.0,tabl cocktail waitress,2.0,one cocktail enjoy,2.0,sip cocktail enjoy,4.0,cocktail las vega,7
free signatur cocktail,2.0,cocktail glass wine,2.0,cocktail menu look,2.0,cocktail tasti food,4.0,shrimp cocktail good,7
us sat cocktail,2.0,best thing cocktail,2.0,hope cocktail would,2.0,cocktail wine glass,4.0,cocktail sauc lemon,7
sat cocktail this,2.0,thing cocktail call,2.0,ask want cocktail,2.0,vega price cocktail,4.0,excel craft cocktail,7
cocktail this beauti,2.0,cocktail call taoism,2.0,cocktail waitress bartend,2.0,quick bite cocktail,4.0,spici cocktail sauc,7
cocktail wine tar,2.0,cocktail servic slow,2.0,hour specialti cocktail,2.0,high end cocktail,4.0,cocktail sauc horseradish,7
bartend cocktail server,2.0,shrimp loui cocktail,2.0,lover order cocktail,2.0,love craft cocktail,4.0,cocktail definit back,7
min cocktail waitress,2.0,two cocktail experi,2.0,high price cocktail,2.0,two specialti cocktail,4.0,cocktail must tri,7
tabl side cocktail,2.0,cocktail old fashion,2.0,crab cocktail crab,2.0,cocktail drink menu,4.0,cocktail half price,7
great servic cocktail,1.0,paper cocktail napkin,2.0,good select cocktail,2.0,champagn cocktail perfect,4.0,shrimp cocktail ever,6
cocktail waitress though,1.0,amaz amber cocktail,2.0,cocktail sauc serv,2.0,cocktail las vega,4.0,cocktail friend staff,6
hour shrimp cocktail,1.0,amber cocktail absolut,2.0,cocktail waitress ask,2.0,great beer cocktail,4.0,cocktail old fashion,6
shrimp cocktail cevich,1.0,cocktail absolut delici,2.0,notaddcocktail notaddwaitress notaddbr,2.0,order cocktail enjoy,4.0,cocktail live music,6
cocktail cevich cost,1.0,order cocktail got,2.0,specialti cocktail beer,2.0,notaddtheir notaddspecialti notaddcocktail,4.0,cocktail bar wait,6
familiar notaddwith notaddcocktail,1.0,cocktail ahi tuna,2.0,servic cocktail waitress,2.0,bar specialti cocktail,4.0,craft cocktail excel,6
notaddwith notaddcocktail notadddrink,1.0,cocktail sauc came,2.0,shrimp cocktail decent,2.0,beer well cocktail,4.0,high end cocktail,6
notaddcocktail notadddrink notaddand,1.0,great craft cocktail,2.0,size shrimp cocktail,2.0,cocktail sauc lemon,4.0,shrimp lobster cocktail,6
servic tabl cocktail,1.0,bar want cocktail,2.0,shrimp cocktail delici,2.0,gin base cocktail,4.0,cocktail absolut delici,6
cocktail waitress show,1.0,waitress forgot cocktail,2.0,say cocktail great,2.0,cocktail menu servic,4.0,bar great cocktail,6
get first cocktail,1.0,would like cocktail,2.0,cocktail damn good,2.0,price beer cocktail,4.0,select wine cocktail,6
first cocktail starter,1.0,shrimp cocktail pretti,2.0,drink great cocktail,2.0,lump crab cocktail,4.0,cocktail bar strip,6
cocktail starter anoth,1.0,wife order cocktail,2.0,slider shrimp cocktail,2.0,signatur cocktail made,4.0,strip great cocktail,6
notaddal much cocktail,1.0,order specialti cocktail,2.0,cocktail sauc oyster,2.0,pillow talk cocktail,4.0,cocktail food delici,6
much cocktail list,1.0,order two cocktail,2.0,els order cocktail,2.0,cocktail great servic,4.0,notaddth notaddcocktail notaddmenu,6
cocktail list dine,1.0,order lobster cocktail,2.0,cocktail menu seem,2.0,good cocktail realli,4.0,cocktail perfect servic,6
soda got cocktail,1.0,poor made cocktail,2.0,notaddof notaddtheir notaddcocktail,2.0,earli even cocktail,4.0,one favorit cocktail,6
got cocktail bar,1.0,servic cocktail waitress,2.0,this one cocktail,2.0,cocktail server nice,4.0,view delici cocktail,6
cocktail bar soda,1.0,corpor cocktail parti,2.0,one cocktail place,2.0,good cocktail sauc,4.0,serv best cocktail,6
speed howev cocktail,1.0,dryness order notaddcocktail,1.0,empti cocktail glass,2.0,also good cocktail,4.0,great wine cocktail,6
howev cocktail arriv,1.0,order notaddcocktail place,1.0,shrimp cocktail huge,2.0,cocktail reason price,4.0,cocktail even better,6
cocktail arriv notadduntil,1.0,notaddcocktail place reason,1.0,servic thank cocktail,2.0,cocktail even though,4.0,cocktail bit pricey,6
notaddtak notaddour notaddcocktail,1.0,min get cocktail,1.0,thank cocktail server,2.0,way cocktail menu,4.0,great servic cocktail,6
notaddour notaddcocktail notaddord,1.0,get cocktail order,1.0,cocktail server mulu,2.0,cocktail loung has,4.0,specialti cocktail menu,6
notaddcocktail notaddord notaddaft,1.0,cocktail order far,1.0,order cocktail love,2.0,cocktail menu has,4.0,beer specialti cocktail,6
dinner decid cocktail,1.0,pork belli cocktail,1.0,servic good cocktail,2.0,order signatur cocktail,4.0,notadda notaddfew notaddcocktail,6
decid cocktail dinner,1.0,belli cocktail shrimp,1.0,cocktail strip price,2.0,cocktail waitress super,4.0,best craft cocktail,6
cocktail dinner ms,1.0,cocktail shrimp app,1.0,appet shrimp cocktail,2.0,peopl enjoy cocktail,4.0,tri craft cocktail,6
